Zip Code ,Population ,Case Count - Cumulative,Case Count - Last 30 Days ,Case Count - Last 14 Days ,Case Count Per 100K - Cumulative,Case Count Per 100K - Last 30 Days,Case Count Per 100K - Last 14 Days
43985,93,N/A,N/A,N/A,N/A,N/A,N/A
43986,"2,332",94,11,8,"4,030.90",471.7,343.1
43988,"2,263",99,13,8,"4,374.70",574.5,353.5
44001,"21,130","1,493",265,72,"7,065.80","1,254.10",340.7
44003,"4,228",191,19,N/A,"4,517.50",449.4,N/A
44004,"31,474","1,504",186,91,"4,778.50",591,289.1
44010,"1,555",80,10,7,"5,144.70",643.1,450.2
44011,"22,786","1,772",331,81,"7,776.70","1,452.60",355.5
44012,"23,777","1,479",194,69,"6,220.30",815.9,290.2
44017,"18,903","1,364",181,50,"7,215.80",957.50,264.5
44021,"6,244",331,95,30,"5,301.10","1,521.50",480.5
44022,"16,604","1,031",164,57,"6,209.30",987.7,343.3
44023,"17,473","1,175",241,63,"6,724.70","1,379.30",360.6
44024,"23,834","1,642",240,70,"6,889.30","1,007.00",293.7
44026,"10,989",709,122,47,"6,451.90","1,110.20",427.7
44028,"9,000",642,117,38,"7,133.30","1,300.00",422.2
44030,"15,949",700,77,21,"4,389.00",482.8,131.7
44032,"1,516",41,10,5,"2,704.50",659.6,329.8
44035,"63,318","4,042",609,192,"6,383.70",961.80,303.2
44039,"33,018","2,360",339,98,"7,147.60","1,026.70",296.8
44040,"2,903",224,24,9,"7,716.20",826.7,310
44041,"14,321",832,93,31,"5,809.70",649.4,216.5
44044,"15,400","1,035",173,49,"6,720.80","1,123.40",318.2
44045,477,26,N/A,N/A,"5,450.70",N/A,N/A
44046,"2,473",136,17,7,"5,499.40",687.4,283.1
44047,"9,122",511,49,18,"5,601.80",537.2,197.3
44048,"2,529",103,11,N/A,"4,072.80",435,N/A
44049,224,8,N/A,N/A,"3,571.40",N/A,N/A
44050,"6,384",491,65,17,"7,691.10","1,018.20",266.3
44052,"28,576","1,878",347,98,"6,571.90","1,214.30",342.9
44053,"18,895","1,793",310,94,"9,489.30","1,640.60",497.5
44054,"12,613",818,137,39,"6,485.40","1,086.20",309.2
44055,"19,943","1,377",237,63,"6,904.70","1,188.40",315.9
44056,"11,808",941,113,32,"7,969.20",957.00,271
44057,"19,482","1,420",224,62,"7,288.80","1,149.80",318.2
44060,"60,476","4,375",556,171,"7,234.30",919.4,282.8
44062,"14,523",588,97,30,"4,048.80",667.9,206.6
44064,"1,724",100,12,N/A,"5,800.50",696.1,N/A
44065,"4,522",231,38,17,"5,108.40",840.3,375.9
44067,"20,470","1,492",198,64,"7,288.70",967.30,312.7
44070,"31,847","2,271",308,88,"7,131.00",967.10,276.3
